match_id,tournament_id,year,stage,group_name,match_date,venue_id,country_name,home_team,away_team,home_team_score,away_team_score,extra_time,penalty_shootout,home_team_score_penalties,away_team_score_penalties,attendance,home_team_raw,away_team_raw,source
M-1934-12,WC-1934,1934,quarter-finals,,1934-05-31,V-074,Italy,Italy,Spain,1,1,1,0,,,,Italy,Spain,fjelstul
M-1934-13,WC-1934,1934,quarter-finals,,1934-06-01,V-074,Italy,Italy,Spain,1,0,0,0,,,,Italy,Spain,fjelstul
M-1934-14,WC-1934,1934,semi-finals,,1934-06-03,V-080,Italy,Czech Republic,Germany,3,1,0,0,,,,Czechoslovakia,Germany,fjelstul
M-1934-15,WC-1934,1934,semi-finals,,1934-06-03,V-076,Italy,Italy,Austria,1,0,0,0,,,,Italy,Austria,fjelstul
M-1934-16,WC-1934,1934,third-place match,,1934-06-07,V-077,Italy,Germany,Austria,3,2,0,0,,,,Germany,Austria,fjelstul
M-1934-17,WC-1934,1934,final,,1934-06-10,V-080,Italy,Italy,Czech Republic,2,1,1,0,,,,Italy,Czechoslovakia,fjelstul
M-1938-01,WC-1938,1938,round of 16,,1938-06-04,V-047,France,Switzerland,Germany,1,1,1,0,,,,Switzerland,Germany,fjelstul
M-1938-02,WC-1938,1938,round of 16,,1938-06-05,V-054,France,Cuba,Romania,3,3,1,0,,,,Cuba,Romania,fjelstul
M-1938-03,WC-1938,1938,round of 16,,1938-06-05,V-048,France,France,Belgium,3,1,0,0,,,,France,Belgium,fjelstul
M-1938-04,WC-1938,1938,round of 16,,1938-06-05,V-049,France,Hungary,Indonesia,6,0,0,0,,,,Hungary,Dutch East Indies,fjelstul
M-1938-05,WC-1938,1938,round of 16,,1938-06-05,V-044,France,Italy,Norway,2,1,1,0,,,,Italy,Norway,fjelstul
M-1938-06,WC-1938,1938,round of 16,,1938-06-05,V-052,France,Brazil,Poland,6,5,1,0,,,,Brazil,Poland,fjelstul
M-1938-07,WC-1938,1938,round of 16,,1938-06-05,V-040,France,Czech Republic,Netherlands,3,0,1,0,,,,Czechoslovakia,Netherlands,fjelstul
M-1938-08,WC-1938,1938,round of 16,,1938-06-09,V-054,France,Cuba,Romania,2,1,0,0,,,,Cuba,Romania,fjelstul
M-1938-09,WC-1938,1938,round of 16,,1938-06-09,V-047,France,Switzerland,Germany,4,2,0,0,,,,Switzerland,Germany,fjelstul
M-1938-10,WC-1938,1938,quarter-finals,,1938-06-12,V-039,France,Brazil,Czech Republic,1,1,1,0,,,,Brazil,Czechoslovakia,fjelstul
M-1938-11,WC-1938,1938,quarter-finals,,1938-06-12,V-042,France,Hungary,Switzerland,2,0,0,0,,,,Hungary,Switzerland,fjelstul
M-1938-12,WC-1938,1938,quarter-finals,,1938-06-12,V-048,France,Italy,France,3,1,0,0,,,,Italy,France,fjelstul
M-1938-13,WC-1938,1938,quarter-finals,,1938-06-12,V-038,France,Sweden,Cuba,8,0,0,0,,,,Sweden,Cuba,fjelstul
M-1938-14,WC-1938,1938,quarter-finals,,1938-06-14,V-039,France,Brazil,Czech Republic,2,1,0,0,,,,Brazil,Czechoslovakia,fjelstul
M-1938-15,WC-1938,1938,semi-finals,,1938-06-16,V-047,France,Hungary,Sweden,5,1,0,0,,,,Hungary,Sweden,fjelstul
M-1938-16,WC-1938,1938,semi-finals,,1938-06-16,V-044,France,Italy,Brazil,2,1,0,0,,,,Italy,Brazil,fjelstul
M-1938-17,WC-1938,1938,third-place match,,1938-06-19,V-039,France,Brazil,Sweden,4,2,0,0,,,,Brazil,Sweden,fjelstul
M-1938-18,WC-1938,1938,final,,1938-06-19,V-048,France,Italy,Hungary,4,2,0,0,,,,Italy,Hungary,fjelstul
M-1950-01,WC-1950,1950,group stage,Group 1,1950-06-24,V-020,Brazil,Brazil,Mexico,4,0,0,0,,,,Brazil,Mexico,fjelstul
M-1950-02,WC-1950,1950,group stage,Group 1,1950-06-25,V-007,Brazil,Serbia,Switzerland,3,0,0,0,,,,Yugoslavia,Switzerland,fjelstul
M-1950-03,WC-1950,1950,group stage,Group 2,1950-06-25,V-020,Brazil,England,Chile,2,0,0,0,,,,England,Chile,fjelstul
M-1950-04,WC-1950,1950,group stage,Group 2,1950-06-25,V-012,Brazil,Spain,United States,3,1,0,0,,,,Spain,United States,fjelstul
M-1950-05,WC-1950,1950,group stage,Group 3,1950-06-25,V-023,Brazil,Sweden,Italy,3,2,0,0,,,,Sweden,Italy,fjelstul
M-1950-06,WC-1950,1950,group stage,Group 1,1950-06-28,V-023,Brazil,Brazil,Switzerland,2,2,0,0,,,,Brazil,Switzerland,fjelstul
M-1950-07,WC-1950,1950,group stage,Group 1,1950-06-28,V-017,Brazil,Serbia,Mexico,4,1,0,0,,,,Yugoslavia,Mexico,fjelstul
M-1950-08,WC-1950,1950,group stage,Group 2,1950-06-29,V-020,Brazil,Spain,Chile,2,0,0,0,,,,Spain,Chile,fjelstul
M-1950-09,WC-1950,1950,group stage,Group 2,1950-06-29,V-007,Brazil,United States,England,1,0,0,0,,,,United States,England,fjelstul
M-1950-10,WC-1950,1950,group stage,Group 3,1950-06-29,V-012,Brazil,Sweden,Paraguay,2,2,0,0,,,,Sweden,Paraguay,fjelstul
M-1950-11,WC-1950,1950,group stage,Group 1,1950-07-01,V-020,Brazil,Brazil,Serbia,2,0,0,0,,,,Brazil,Yugoslavia,fjelstul
M-1950-12,WC-1950,1950,group stage,Group 2,1950-07-02,V-019,Brazil,Chile,United States,5,2,0,0,,,,Chile,United States,fjelstul
M-1950-13,WC-1950,1950,group stage,Group 2,1950-07-02,V-020,Brazil,Spain,England,1,0,0,0,,,,Spain,England,fjelstul
M-1950-14,WC-1950,1950,group stage,Group 3,1950-07-02,V-023,Brazil,Italy,Paraguay,2,0,0,0,,,,Italy,Paraguay,fjelstul
M-1950-15,WC-1950,1950,group stage,Group 4,1950-07-02,V-007,Brazil,Uruguay,Bolivia,8,0,0,0,,,,Uruguay,Bolivia,fjelstul
M-1950-16,WC-1950,1950,group stage,Group 1,1950-07-02,V-017,Brazil,Switzerland,Mexico,2,1,0,0,,,,Switzerland,Mexico,fjelstul
M-1950-17,WC-1950,1950,final round,,1950-07-09,V-020,Brazil,Brazil,Sweden,7,1,0,0,,,,Brazil,Sweden,fjelstul
M-1950-18,WC-1950,1950,final round,,1950-07-09,V-023,Brazil,Uruguay,Spain,2,2,0,0,,,,Uruguay,Spain,fjelstul
M-1950-19,WC-1950,1950,final round,,1950-07-13,V-020,Brazil,Brazil,Spain,6,1,0,0,,,,Brazil,Spain,fjelstul
M-1950-20,WC-1950,1950,final round,,1950-07-13,V-023,Brazil,Uruguay,Sweden,3,2,0,0,,,,Uruguay,Sweden,fjelstul
M-1950-21,WC-1950,1950,final round,,1950-07-16,V-023,Brazil,Sweden,Spain,3,1,0,0,,,,Sweden,Spain,fjelstul
M-1950-22,WC-1950,1950,final round,,1950-07-16,V-020,Brazil,Uruguay,Brazil,2,1,0,0,,,,Uruguay,Brazil,fjelstul
M-1954-01,WC-1954,1954,group stage,Group 1,1954-06-16,V-182,Switzerland,Brazil,Mexico,5,0,0,0,,,,Brazil,Mexico,fjelstul
M-1954-02,WC-1954,1954,group stage,Group 1,1954-06-16,V-183,Switzerland,Serbia,France,1,0,0,0,,,,Yugoslavia,France,fjelstul
M-1954-03,WC-1954,1954,group stage,Group 3,1954-06-16,V-185,Switzerland,Austria,Scotland,1,0,0,0,,,,Austria,Scotland,fjelstul
M-1954-04,WC-1954,1954,group stage,Group 3,1954-06-16,V-181,Switzerland,Uruguay,Czech Republic,2,0,0,0,,,,Uruguay,Czechoslovakia,fjelstul
M-1954-05,WC-1954,1954,group stage,Group 4,1954-06-17,V-183,Switzerland,Switzerland,Italy,2,1,0,0,,,,Switzerland,Italy,fjelstul
M-1954-06,WC-1954,1954,group stage,Group 2,1954-06-17,V-185,Switzerland,Hungary,South Korea,9,0,0,0,,,,Hungary,South Korea,fjelstul
M-1954-07,WC-1954,1954,group stage,Group 2,1954-06-17,V-181,Switzerland,Germany,Turkey,4,1,0,0,,,,West Germany,Turkey,fjelstul
M-1954-08,WC-1954,1954,group stage,Group 4,1954-06-17,V-180,Switzerland,England,Belgium,4,4,1,0,,,,England,Belgium,fjelstul
M-1954-09,WC-1954,1954,group stage,Group 3,1954-06-19,V-180,Switzerland,Uruguay,Scotland,7,0,0,0,,,,Uruguay,Scotland,fjelstul
M-1954-10,WC-1954,1954,group stage,Group 1,1954-06-19,V-183,Switzerland,Brazil,Serbia,1,1,1,0,,,,Brazil,Yugoslavia,fjelstul
M-1954-11,WC-1954,1954,group stage,Group 3,1954-06-19,V-185,Switzerland,Austria,Czech Republic,5,0,0,0,,,,Austria,Czechoslovakia,fjelstul
M-1954-12,WC-1954,1954,group stage,Group 1,1954-06-19,V-182,Switzerland,France,Mexico,3,2,0,0,,,,France,Mexico,fjelstul
M-1954-13,WC-1954,1954,group stage,Group 2,1954-06-20,V-180,Switzerland,Hungary,Germany,8,3,0,0,,,,Hungary,West Germany,fjelstul
M-1954-14,WC-1954,1954,group stage,Group 2,1954-06-20,V-182,Switzerland,Turkey,South Korea,7,0,0,0,,,,Turkey,South Korea,fjelstul
M-1954-15,WC-1954,1954,group stage,Group 4,1954-06-20,V-184,Switzerland,Italy,Belgium,4,1,0,0,,,,Italy,Belgium,fjelstul
M-1954-16,WC-1954,1954,group stage,Group 4,1954-06-20,V-181,Switzerland,England,Switzerland,2,0,0,0,,,,England,Switzerland,fjelstul
M-1954-17,WC-1954,1954,group stage,Group 2,1954-06-23,V-185,Switzerland,Germany,Turkey,7,2,0,0,,,,West Germany,Turkey,fjelstul
M-1954-18,WC-1954,1954,group stage,Group 4,1954-06-23,V-180,Switzerland,Switzerland,Italy,4,1,0,0,,,,Switzerland,Italy,fjelstul
M-1954-19,WC-1954,1954,quarter-finals,,1954-06-26,V-183,Switzerland,Austria,Switzerland,7,5,0,0,,,,Austria,Switzerland,fjelstul
M-1954-20,WC-1954,1954,quarter-finals,,1954-06-26,V-180,Switzerland,Uruguay,England,4,2,0,0,,,,Uruguay,England,fjelstul
M-1954-21,WC-1954,1954,quarter-finals,,1954-06-27,V-181,Switzerland,Hungary,Brazil,4,2,0,0,,,,Hungary,Brazil,fjelstul
M-1954-22,WC-1954,1954,quarter-finals,,1954-06-27,V-182,Switzerland,Germany,Serbia,2,0,0,0,,,,West Germany,Yugoslavia,fjelstul
M-1954-23,WC-1954,1954,semi-finals,,1954-06-30,V-183,Switzerland,Hungary,Uruguay,4,2,1,0,,,,Hungary,Uruguay,fjelstul
M-1954-24,WC-1954,1954,semi-finals,,1954-06-30,V-180,Switzerland,Germany,Austria,6,1,0,0,,,,West Germany,Austria,fjelstul
M-1954-25,WC-1954,1954,third-place match,,1954-07-03,V-185,Switzerland,Austria,Uruguay,3,1,0,0,,,,Austria,Uruguay,fjelstul
M-1954-26,WC-1954,1954,final,,1954-07-04,V-181,Switzerland,Germany,Hungary,3,2,0,0,,,,West Germany,Hungary,fjelstul
M-1958-01,WC-1958,1958,group stage,Group 3,1958-06-08,V-176,Sweden,Sweden,Mexico,3,0,0,0,,,,Sweden,Mexico,fjelstul
M-1958-02,WC-1958,1958,group stage,Group 1,1958-06-08,V-173,Sweden,Argentina,Germany,1,3,0,0,,,,Argentina,West Germany,fjelstul
M-1958-03,WC-1958,1958,group stage,Group 1,1958-06-08,V-171,Sweden,Northern Ireland,Czech Republic,1,0,0,0,,,,Northern Ireland,Czechoslovakia,fjelstul
M-1958-04,WC-1958,1958,group stage,Group 2,1958-06-08,V-174,Sweden,France,Paraguay,7,3,0,0,,,,France,Paraguay,fjelstul
M-1958-05,WC-1958,1958,group stage,Group 2,1958-06-08,V-178,Sweden,Serbia,Scotland,1,1,0,0,,,,Yugoslavia,Scotland,fjelstul
M-1958-06,WC-1958,1958,group stage,Group 3,1958-06-08,V-175,Sweden,Hungary,Wales,1,1,0,0,,,,Hungary,Wales,fjelstul
M-1958-07,WC-1958,1958,group stage,Group 4,1958-06-08,V-177,Sweden,Brazil,Austria,3,0,0,0,,,,Brazil,Austria,fjelstul
M-1958-08,WC-1958,1958,group stage,Group 4,1958-06-08,V-170,Sweden,Russia,England,2,2,0,0,,,,Soviet Union,England,fjelstul
M-1958-09,WC-1958,1958,group stage,Group 1,1958-06-11,V-171,Sweden,Argentina,Northern Ireland,3,1,0,0,,,,Argentina,Northern Ireland,fjelstul
M-1958-10,WC-1958,1958,group stage,Group 1,1958-06-11,V-172,Sweden,Germany,Czech Republic,2,2,0,0,,,,West Germany,Czechoslovakia,fjelstul
M-1958-11,WC-1958,1958,group stage,Group 2,1958-06-11,V-174,Sweden,Paraguay,Scotland,3,2,0,0,,,,Paraguay,Scotland,fjelstul
M-1958-12,WC-1958,1958,group stage,Group 2,1958-06-11,V-178,Sweden,Serbia,France,3,2,0,0,,,,Yugoslavia,France,fjelstul
M-1958-13,WC-1958,1958,group stage,Group 3,1958-06-11,V-176,Sweden,Mexico,Wales,1,1,0,0,,,,Mexico,Wales,fjelstul
M-1958-14,WC-1958,1958,group stage,Group 4,1958-06-11,V-170,Sweden,Brazil,England,0,0,0,0,,,,Brazil,England,fjelstul
M-1958-15,WC-1958,1958,group stage,Group 4,1958-06-11,V-168,Sweden,Russia,Austria,2,0,0,0,,,,Soviet Union,Austria,fjelstul
M-1958-16,WC-1958,1958,group stage,Group 3,1958-06-12,V-176,Sweden,Sweden,Hungary,2,1,0,0,,,,Sweden,Hungary,fjelstul
M-1958-17,WC-1958,1958,group stage,Group 3,1958-06-15,V-176,Sweden,Sweden,Wales,0,0,0,0,,,,Sweden,Wales,fjelstul
M-1958-18,WC-1958,1958,group stage,Group 1,1958-06-15,V-172,Sweden,Czech Republic,Argentina,6,1,0,0,,,,Czechoslovakia,Argentina,fjelstul
M-1958-19,WC-1958,1958,group stage,Group 1,1958-06-15,V-173,Sweden,Germany,Northern Ireland,2,2,0,0,,,,West Germany,Northern Ireland,fjelstul
M-1958-20,WC-1958,1958,group stage,Group 2,1958-06-15,V-179,Sweden,France,Scotland,2,1,0,0,,,,France,Scotland,fjelstul
M-1958-21,WC-1958,1958,group stage,Group 2,1958-06-15,V-169,Sweden,Paraguay,Serbia,3,3,0,0,,,,Paraguay,Yugoslavia,fjelstul
M-1958-22,WC-1958,1958,group stage,Group 3,1958-06-15,V-175,Sweden,Hungary,Mexico,4,0,0,0,,,,Hungary,Mexico,fjelstul
M-1958-23,WC-1958,1958,group stage,Group 4,1958-06-15,V-170,Sweden,Brazil,Russia,2,0,0,0,,,,Brazil,Soviet Union,fjelstul
M-1958-24,WC-1958,1958,group stage,Group 4,1958-06-15,V-168,Sweden,England,Austria,2,2,0,0,,,,England,Austria,fjelstul
M-1958-25,WC-1958,1958,group stage,Group 1,1958-06-17,V-173,Sweden,Northern Ireland,Czech Republic,2,1,1,0,,,,Northern Ireland,Czechoslovakia,fjelstul
M-1958-26,WC-1958,1958,group stage,Group 3,1958-06-17,V-176,Sweden,Wales,Hungary,2,1,0,0,,,,Wales,Hungary,fjelstul
M-1958-27,WC-1958,1958,group stage,Group 4,1958-06-17,V-170,Sweden,Russia,England,1,0,0,0,,,,Soviet Union,England,fjelstul
M-1958-28,WC-1958,1958,quarter-finals,,1958-06-19,V-170,Sweden,Brazil,Wales,1,0,0,0,,,,Brazil,Wales,fjelstul
M-1958-29,WC-1958,1958,quarter-finals,,1958-06-19,V-174,Sweden,France,Northern Ireland,4,0,0,0,,,,France,Northern Ireland,fjelstul
M-1958-30,WC-1958,1958,quarter-finals,,1958-06-19,V-176,Sweden,Sweden,Russia,2,0,0,0,,,,Sweden,Soviet Union,fjelstul
M-1958-31,WC-1958,1958,quarter-finals,,1958-06-19,V-173,Sweden,Germany,Serbia,1,0,0,0,,,,West Germany,Yugoslavia,fjelstul
M-1958-32,WC-1958,1958,semi-finals,,1958-06-24,V-176,Sweden,Brazil,France,5,2,0,0,,,,Brazil,France,fjelstul
M-1958-33,WC-1958,1958,semi-finals,,1958-06-24,V-170,Sweden,Sweden,Germany,3,1,0,0,,,,Sweden,West Germany,fjelstul
M-1958-34,WC-1958,1958,third-place match,,1958-06-28,V-170,Sweden,France,Germany,6,3,0,0,,,,France,West Germany,fjelstul
M-1958-35,WC-1958,1958,final,,1958-06-29,V-176,Sweden,Brazil,Sweden,5,2,0,0,,,,Brazil,Sweden,fjelstul
M-1962-01,WC-1962,1962,group stage,Group 1,1962-05-30,V-026,Chile,Uruguay,Colombia,2,1,0,0,,,,Uruguay,Colombia,fjelstul
M-1962-02,WC-1962,1962,group stage,Group 2,1962-05-30,V-028,Chile,Chile,Switzerland,3,1,0,0,,,,Chile,Switzerland,fjelstul
M-1962-03,WC-1962,1962,group stage,Group 3,1962-05-30,V-029,Chile,Brazil,Mexico,2,0,0,0,,,,Brazil,Mexico,fjelstul
M-1962-04,WC-1962,1962,group stage,Group 4,1962-05-30,V-027,Chile,Argentina,Bulgaria,1,0,0,0,,,,Argentina,Bulgaria,fjelstul
M-1962-05,WC-1962,1962,group stage,Group 1,1962-05-31,V-026,Chile,Russia,Serbia,2,0,0,0,,,,Soviet Union,Yugoslavia,fjelstul
M-1962-06,WC-1962,1962,group stage,Group 2,1962-05-31,V-028,Chile,Germany,Italy,0,0,0,0,,,,West Germany,Italy,fjelstul
M-1962-07,WC-1962,1962,group stage,Group 3,1962-05-31,V-029,Chile,Czech Republic,Spain,1,0,0,0,,,,Czechoslovakia,Spain,fjelstul
M-1962-08,WC-1962,1962,group stage,Group 4,1962-05-31,V-027,Chile,Hungary,England,2,1,0,0,,,,Hungary,England,fjelstul
M-1962-09,WC-1962,1962,group stage,Group 1,1962-06-02,V-026,Chile,Serbia,Uruguay,3,1,0,0,,,,Yugoslavia,Uruguay,fjelstul
M-1962-10,WC-1962,1962,group stage,Group 2,1962-06-02,V-028,Chile,Chile,Italy,2,0,0,0,,,,Chile,Italy,fjelstul
M-1962-11,WC-1962,1962,group stage,Group 3,1962-06-02,V-029,Chile,Brazil,Czech Republic,0,0,0,0,,,,Brazil,Czechoslovakia,fjelstul
M-1962-12,WC-1962,1962,group stage,Group 4,1962-06-02,V-027,Chile,England,Argentina,3,1,0,0,,,,England,Argentina,fjelstul
M-1962-13,WC-1962,1962,group stage,Group 1,1962-06-03,V-026,Chile,Russia,Colombia,4,4,0,0,,,,Soviet Union,Colombia,fjelstul
M-1962-14,WC-1962,1962,group stage,Group 2,1962-06-03,V-028,Chile,Germany,Switzerland,2,1,0,0,,,,West Germany,Switzerland,fjelstul
M-1962-15,WC-1962,1962,group stage,Group 3,1962-06-03,V-029,Chile,Spain,Mexico,1,0,0,0,,,,Spain,Mexico,fjelstul
M-1962-16,WC-1962,1962,group stage,Group 4,1962-06-03,V-027,Chile,Hungary,Bulgaria,6,1,0,0,,,,Hungary,Bulgaria,fjelstul
M-1962-17,WC-1962,1962,group stage,Group 1,1962-06-06,V-026,Chile,Russia,Uruguay,2,1,0,0,,,,Soviet Union,Uruguay,fjelstul
M-1962-18,WC-1962,1962,group stage,Group 2,1962-06-06,V-028,Chile,Germany,Chile,2,0,0,0,,,,West Germany,Chile,fjelstul
M-1962-19,WC-1962,1962,group stage,Group 3,1962-06-06,V-029,Chile,Brazil,Spain,2,1,0,0,,,,Brazil,Spain,fjelstul
M-1962-20,WC-1962,1962,group stage,Group 4,1962-06-06,V-027,Chile,Hungary,Argentina,0,0,0,0,,,,Hungary,Argentina,fjelstul
M-1962-21,WC-1962,1962,group stage,Group 1,1962-06-07,V-026,Chile,Serbia,Colombia,5,0,0,0,,,,Yugoslavia,Colombia,fjelstul
M-1962-22,WC-1962,1962,group stage,Group 2,1962-06-07,V-028,Chile,Italy,Switzerland,3,0,0,0,,,,Italy,Switzerland,fjelstul
M-1962-23,WC-1962,1962,group stage,Group 3,1962-06-07,V-029,Chile,Mexico,Czech Republic,3,1,0,0,,,,Mexico,Czechoslovakia,fjelstul
M-1962-24,WC-1962,1962,group stage,Group 4,1962-06-07,V-027,Chile,England,Bulgaria,0,0,0,0,,,,England,Bulgaria,fjelstul
M-1962-25,WC-1962,1962,quarter-finals,,1962-06-10,V-029,Chile,Brazil,England,3,1,0,0,,,,Brazil,England,fjelstul
M-1962-26,WC-1962,1962,quarter-finals,,1962-06-10,V-026,Chile,Chile,Russia,2,1,0,0,,,,Chile,Soviet Union,fjelstul
M-1962-27,WC-1962,1962,quarter-finals,,1962-06-10,V-027,Chile,Czech Republic,Hungary,1,0,0,0,,,,Czechoslovakia,Hungary,fjelstul
M-1962-28,WC-1962,1962,quarter-finals,,1962-06-10,V-028,Chile,Serbia,Germany,1,0,0,0,,,,Yugoslavia,West Germany,fjelstul
M-1962-29,WC-1962,1962,semi-finals,,1962-06-13,V-028,Chile,Brazil,Chile,4,2,0,0,,,,Brazil,Chile,fjelstul
M-1962-30,WC-1962,1962,semi-finals,,1962-06-13,V-029,Chile,Czech Republic,Serbia,3,1,0,0,,,,Czechoslovakia,Yugoslavia,fjelstul
M-1962-31,WC-1962,1962,third-place match,,1962-06-16,V-028,Chile,Chile,Serbia,1,0,0,0,,,,Chile,Yugoslavia,fjelstul
M-1962-32,WC-1962,1962,final,,1962-06-17,V-028,Chile,Brazil,Czech Republic,3,1,0,0,,,,Brazil,Czechoslovakia,fjelstul
M-1966-01,WC-1966,1966,group stage,Group 1,1966-07-11,V-032,England,England,Uruguay,0,0,0,0,,,,England,Uruguay,fjelstul
M-1966-02,WC-1966,1966,group stage,Group 2,1966-07-12,V-036,England,Germany,Switzerland,5,0,0,0,,,,West Germany,Switzerland,fjelstul
M-1966-03,WC-1966,1966,group stage,Group 3,1966-07-12,V-031,England,Brazil,Bulgaria,2,0,0,0,,,,Brazil,Bulgaria,fjelstul
M-1966-04,WC-1966,1966,group stage,Group 4,1966-07-12,V-035,England,Russia,North Korea,3,0,0,0,,,,Soviet Union,North Korea,fjelstul
M-1966-05,WC-1966,1966,group stage,Group 1,1966-07-13,V-032,England,France,Mexico,1,1,0,0,,,,France,Mexico,fjelstul
M-1966-06,WC-1966,1966,group stage,Group 2,1966-07-13,V-030,England,Argentina,Spain,2,1,0,0,,,,Argentina,Spain,fjelstul
M-1966-07,WC-1966,1966,group stage,Group 3,1966-07-13,V-034,England,Portugal,Hungary,3,1,0,0,,,,Portugal,Hungary,fjelstul
M-1966-08,WC-1966,1966,group stage,Group 4,1966-07-13,V-037,England,Italy,Chile,2,0,0,0,,,,Italy,Chile,fjelstul
M-1966-09,WC-1966,1966,group stage,Group 1,1966-07-15,V-033,England,Uruguay,France,2,1,0,0,,,,Uruguay,France,fjelstul
M-1966-10,WC-1966,1966,group stage,Group 2,1966-07-15,V-036,England,Spain,Switzerland,2,1,0,0,,,,Spain,Switzerland,fjelstul
M-1966-11,WC-1966,1966,group stage,Group 3,1966-07-15,V-031,England,Hungary,Brazil,3,1,0,0,,,,Hungary,Brazil,fjelstul
M-1966-12,WC-1966,1966,group stage,Group 4,1966-07-15,V-035,England,Chile,North Korea,1,1,0,0,,,,Chile,North Korea,fjelstul
M-1966-13,WC-1966,1966,group stage,Group 2,1966-07-16,V-030,England,Argentina,Germany,0,0,0,0,,,,Argentina,West Germany,fjelstul
